ID,Start time,Completion time,Email,Name,Last modified time,Date,Staff Name,Location,User,Reason for Visit,Issue presented,Comments
54,9/26/23 10:46:52,9/26/23 11:04:32,anonymous,,,9/26/2023,Priscilla,,Student,Tech Help;,WIFI;,NA
55,9/26/23 11:04:36,9/26/23 11:18:33,anonymous,,,9/26/2023,Priscilla,,Staff,Computer Usage;,Other;,NA
56,9/26/23 11:18:34,9/26/23 11:18:55,anonymous,,,9/26/2023,Priscilla,,Guest,Other;,Other;,NA
57,9/26/23 10:31:55,9/26/23 11:21:54,anonymous,,,9/26/2023,Teresia,,Student,Computer Usage;,Other;,The student is using the computers to do his schoolwork
58,9/26/23 11:18:59,9/26/23 11:44:09,anonymous,,,9/26/2023,Yessica B.,,Student,Tech Help;,Student Email;Canvas;,"Student name: Jake Kwak, needed help to change name on Canvas. Directed to eLearning. Also helped setup his student email. Had to reset his password, reset was successful."
59,9/26/23 11:43:42,9/26/23 11:44:56,anonymous,,,9/26/2023,Teresia,,Student,Computer Usage;,Other;,The student is using the lab computer for schoolwork
60,9/26/23 12:13:18,9/26/23 12:16:06,anonymous,,,9/26/2023,Florian Williams,,Student,Computer Usage;,Other;,Just came in to use a computer.
61,9/26/23 12:41:34,9/26/23 12:44:08,anonymous,,,9/26/2023,jacob,PY - Lab,Student,Tech Help;,Student Email;,student needed an email password reset 
62,9/26/23 12:45:07,9/26/23 12:46:52,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,Other;,student came in for tech help
63,9/26/23 12:46:56,9/26/23 12:47:57,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Other;,Student Email;,came in for email help
64,9/26/23 12:47:59,9/26/23 12:48:48,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Other;,Student Email;,came in for email help
65,9/26/23 12:48:51,9/26/23 12:49:42,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,WIFI;,helped get wifi
66,9/26/23 12:49:51,9/26/23 12:50:20,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,WIFI;,helped get wifi
67,9/26/23 12:50:21,9/26/23 12:50:46,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,WIFI;,helped get wifi
68,9/26/23 12:50:48,9/26/23 12:52:18,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,help getting to c274
69,9/26/23 12:52:24,9/26/23 12:52:47,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Tech Help;,Other;,helped getting to c274
70,9/26/23 12:52:51,9/26/23 12:53:28,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped getting to c274
71,9/26/23 12:53:31,9/26/23 12:53:48,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped getting to c274
72,9/26/23 12:53:49,9/26/23 12:54:09,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped getting to c274
73,9/26/23 12:54:13,9/26/23 12:54:47,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped getting to c274
74,9/26/23 12:54:49,9/26/23 12:55:44,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped 
75,9/26/23 12:55:49,9/26/23 12:56:07,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
76,9/26/23 12:56:13,9/26/23 12:56:30,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
77,9/26/23 12:56:35,9/26/23 12:56:49,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
78,9/26/23 12:56:53,9/26/23 12:57:10,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
79,9/26/23 12:57:12,9/26/23 12:57:34,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
80,9/26/23 12:57:39,9/26/23 12:57:57,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
81,9/26/23 12:58:01,9/26/23 12:58:15,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
82,9/26/23 12:58:17,9/26/23 12:58:36,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
83,9/26/23 12:58:42,9/26/23 12:59:17,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,Canvas;Other;,helped with ctc link too
84,9/26/23 12:59:20,9/26/23 13:01:16,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Other;,Student Email;,"needed student email help but couldn't get them logged in, new student"
85,9/26/23 13:03:03,9/26/23 13:03:39,anonymous,,,9/26/2023,Jacob Casca,PY - Lab,Student,Other;,Other;,Looking for 274
86,9/26/23 13:03:42,9/26/23 13:04:38,anonymous,,,9/26/2023,yessica b,PY - Lab,Student,Other;,Other;,Check-in
87,9/26/23 12:00:16,9/26/23 13:05:08,anonymous,,,9/26/2023,Teresia,,Student,Other;,Student Email;,Her email password was reset. It's now working.
88,9/26/23 13:14:22,9/26/23 13:14:57,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Printing;,Other;,helped with printing
89,9/26/23 13:05:18,9/26/23 13:15:11,anonymous,,,9/26/2023,Teresia,FS- Lab,Student,Other;,Other;,The student needed help accessing Starfish. Issue solved
90,9/26/23 13:14:58,9/26/23 13:15:41,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Other;,Canvas;Other;,helped with accessing canvas and finding course materials
91,9/26/23 13:15:42,9/26/23 13:19:12,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,WIFI;,helped with wifi
92,9/26/23 13:04:41,9/26/23 13:21:12,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,Office 365;Canvas;WIFI;Other;,"Needed assistance with Panopto, connecting to wifi, and checking office 365."
93,9/26/23 13:26:15,9/26/23 13:26:33,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Guest,Other;,Other;,helped
94,9/26/23 13:21:18,9/26/23 13:27:27,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Tech Help;,WIFI;,First time connecting laptop and phone to WiFi.
95,9/26/23 13:27:29,9/26/23 13:28:02,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Directions.
96,9/26/23 13:29:46,9/26/23 13:30:29,anonymous,,,9/26/2023,Yessica B,PY - Lab,Student,Tech Help;,Office 365;Canvas;Other;,helped with panopto
97,9/26/23 13:31:17,9/26/23 13:32:30,anonymous,,,9/26/2023,Florian Williams,FS- Lab,Staff,Tech Help;,Other;,Adobe login issues
98,9/26/23 13:32:36,9/26/23 13:34:31,anonymous,,,9/26/2023,Florian Williams,FS- Lab,Student,Tech Help;,Other;,"Adobe sign in issues, unresolved, 6 other students helped."
99,9/26/23 13:15:14,9/26/23 13:36:42,anonymous,,,9/26/2023,Teresia,FS- Lab,Student,Computer Usage;,Other;,using the computer 
100,9/26/23 13:28:11,9/26/23 13:46:22,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,WIFI;Canvas;,"Needed assistance finding the Canvas portal and connecting to the WiFi. Thought that she needed a password reset, but actually was using the wrong login formula."
101,9/26/23 13:46:26,9/26/23 13:48:03,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Directions to computer lab classroom.
102,9/26/23 13:32:17,9/26/23 13:51:43,anonymous,,,9/26/2023,Taylor Swensen,PY - Library,Student,Computer Usage;,WIFI;,Student was unable to login to the PierceOpen network and needed assistance. I was unable to get their SID number.
103,9/26/23 13:48:09,9/26/23 14:01:48,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,WIFI;Canvas;,Needed assistance signing into WiFi and downloading/signing into Canvas app.
104,9/26/23 14:01:55,9/26/23 14:15:18,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,Student Email;Canvas;WIFI;,Needed assistance signing into WiFi and joining a program for a specific course.
105,9/26/23 14:15:23,9/26/23 14:18:31,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,WIFI;,Connecting new phone to the WiFi.
106,9/26/23 13:30:31,9/26/23 14:29:07,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Study Table;,Other;,studying
107,9/26/23 14:30:10,9/26/23 14:30:57,anonymous,,,9/26/2023,Nick,FS- Lab,Guest,Other;,Other;,Guest wanted to check if computer in O305 was fixed
108,9/26/23 14:31:01,9/26/23 14:32:31,anonymous,,,9/26/2023,Nick,FS- Lab,Staff,Other;,Other;,Lecturer inquired about Adobe login on room O302
109,9/26/23 14:03:17,9/26/23 14:35:13,anonymous,,,9/26/2023,Jabez Gomez ,FS- Lab,Student,Computer Usage;Other;,Canvas;,Student Needed help accessing his canvas and know where to access his zoom link for a class. 
110,9/26/23 14:18:34,9/26/23 14:38:42,anonymous,,,9/26/2023,Yessica B,PY - Lab,Student,Computer Usage;,Other;,computer usage
111,9/26/23 14:38:44,9/26/23 14:40:40,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,WIFI;,"New student, registered in July 2023, trying to connect to school WiFi."
112,9/26/23 14:29:08,9/26/23 14:44:01,anonymous,,,9/26/2023,CaitlinHeavner,PY - Lab,Student,Tech Help;,WIFI;,"new student needed wifi help, couldn't log on"
113,9/26/23 14:44:04,9/26/23 14:44:29,anonymous,,,9/26/2023,Jacob,PY - Lab,Guest,Other;,Other;,helped
114,9/26/23 14:40:43,9/26/23 14:45:00,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Study Table;,Other;,Using charging station.
115,9/26/23 14:45:02,9/26/23 14:45:55,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Study Table;,Other;,Using charging station.
116,9/26/23 14:45:57,9/26/23 14:47:37,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Visit
117,9/26/23 14:47:39,9/26/23 14:52:58,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Visit.
118,9/26/23 14:53:00,9/26/23 14:56:22,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Other;,Other;,Visit.
119,9/26/23 14:56:24,9/26/23 14:56:49,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Visit.
120,9/26/23 14:56:56,9/26/23 14:57:47,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Visit.
121,9/26/23 14:57:51,9/26/23 15:10:14,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,Student Email;,New student email cannot login because student was registered after July 2023.
122,9/26/23 15:10:17,9/26/23 15:10:41,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Tech Help;,Student Email;,New student email cannot login because student was registered after July 2023.
123,9/26/23 15:10:42,9/26/23 15:11:30,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
124,9/26/23 15:11:32,9/26/23 15:12:04,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
125,9/26/23 15:12:09,9/26/23 15:12:26,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
126,9/26/23 15:12:31,9/26/23 15:13:31,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
127,9/26/23 15:13:35,9/26/23 15:13:57,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
128,9/26/23 15:14:01,9/26/23 15:14:21,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
129,9/26/23 15:14:26,9/26/23 15:14:49,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
130,9/26/23 15:14:54,9/26/23 15:15:15,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
131,9/26/23 15:15:20,9/26/23 15:15:46,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
132,9/26/23 15:15:50,9/26/23 15:16:09,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
133,9/26/23 15:12:53,9/26/23 15:16:34,anonymous,,,9/26/2023,Nicholas,FS- Lab,Guest,Tech Help;,WIFI;,Student came in for help because they weren't able to access PierceWIFI.
134,9/26/23 15:16:16,9/26/23 15:16:55,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Printing;,Other;,Using printer.
135,9/26/23 15:16:36,9/26/23 15:17:08,anonymous,,,9/26/2023,Caitlin Heavner,PY - Lab,Student,Tech Help;,Canvas;,helped navigate canvas and access courses
136,9/26/23 15:16:56,9/26/23 15:17:18,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
137,9/26/23 15:17:22,9/26/23 15:17:45,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
138,9/26/23 15:17:46,9/26/23 15:18:09,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
139,9/26/23 15:18:11,9/26/23 15:19:23,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
140,9/26/23 15:19:27,9/26/23 15:19:47,anonymous,,,9/26/2023,Emily Barrett,PY - STAT Table,Guest,Other;,Other;,Interest in STAT program.
141,9/26/23 15:19:51,9/26/23 15:21:14,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Computer Usage;,Other;,Using a computer.
142,9/26/23 15:25:32,9/26/23 15:26:55,anonymous,,,9/26/2023,Chase,PY - AAH,Staff,Other;,WIFI;,Student asked for wifi help and issue was resolved.
143,9/26/23 15:36:29,9/26/23 15:37:05,anonymous,,,9/26/2023,Caitin Heavner,PY - Lab,Student,Tech Help;,WIFI;,"needed wifi help but didn't have a SID, new student"
144,9/26/23 15:45:02,9/26/23 15:45:59,anonymous,,,9/26/2023,Yessica Balderrama,PY - Lab,Student,Tech Help;,WIFI;,Student name is H Walter. She was having issues trying to log into WiFi. For some reason her chromebook had to do different settings than normal/modules has.
145,9/26/23 15:23:33,9/26/23 15:58:22,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,Canvas;,Hadn't set up Canvas account yet and needed assistance.
146,9/26/23 15:58:27,9/26/23 16:05:00,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Marketing publication interview.
147,9/26/23 16:05:02,9/26/23 16:07:59,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Tech Help;,WIFI;,Needed assistance connecting to WiFi.
148,9/26/23 16:08:02,9/26/23 16:08:50,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Other;,Other;,Marketing publication interview.
149,9/26/23 15:27:03,9/26/23 16:11:51,anonymous,,,9/26/2023,Chase,PY - AAH,Staff,Other;,Other;,"Student had trouble finding class, so I walked her to her class."
150,9/26/23 16:11:56,9/26/23 16:32:54,anonymous,,,9/26/2023,Chase,PY - AAH,Staff,Tech Help;,Student Email;,Helped her set up her student email for the first time. 
151,9/26/23 15:46:03,9/26/23 16:58:46,anonymous,,,9/26/2023,Yessica B,PY - Lab,Student,Tech Help;,WIFI;,Student needed help with WiFi. Success!
152,9/26/23 16:08:53,9/26/23 16:59:25,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Student,Computer Usage;Tech Help;,Student Email;,Setting up student email.
153,9/26/23 17:00:52,9/26/23 17:01:33,anonymous,,,9/26/2023,Emily Barrett,PY - Lab,Guest,Tech Help;,WIFI;,New student connecting to WiFi.
154,9/27/23 9:06:09,9/27/23 9:22:40,anonymous,,,9/27/2023,Teresia,FS- Lab,Student,Computer Usage;,WIFI;,"The student needed help accessing the wifi, and decided to use the lab computers for schoolwork as they cannot currently access the wifi. "
155,9/27/23 9:22:48,9/27/23 9:25:20,anonymous,,,9/27/2023,Teresia,FS- Lab,Guest,Computer Usage;,Other;,student was guided on how to access and work in the lab.
156,9/27/23 9:25:22,9/27/23 9:26:28,anonymous,,,9/27/2023,Teresia,FS- Lab,Guest,Computer Usage;,Other;,The student was guided and directed on lab access and usage.
157,9/27/23 9:26:34,9/27/23 9:40:41,anonymous,,,9/27/2023,Teresia,FS- Lab,Student,Other;,WIFI;,The student needed help accessing the wifi
158,9/27/23 9:45:21,9/27/23 9:46:18,anonymous,,,9/27/2023,jacob,PY - Lab,Student,Computer Usage;,Other;,using a computer
159,9/27/23 9:46:26,9/27/23 9:47:30,anonymous,,,9/27/2023,jacob,PY - Lab,Student,Other;,Student Email;,student needed help logging into email for the first time
160,9/27/23 9:47:33,9/27/23 9:48:08,anonymous,,,9/27/2023,jacob,PY - Lab,Student,Tech Help;,WIFI;,student needed jelp getting on the wifi 
161,9/27/23 9:48:13,9/27/23 9:48:59,anonymous,,,9/27/2023,jacob,PY - Lab,Student,Tech Help;,Student Email;,student needed first time email password
162,9/27/23 9:40:44,9/27/23 10:02:31,anonymous,,,9/27/2023,Teresia,FS- Lab,Guest,Other;,WIFI;,The student had forgotten her SID so she was not able to access the wifi as she couldn't input the password. Guidelines were given on how to access it next time.
163,9/27/23 10:02:33,9/27/23 10:04:15,anonymous,,,9/27/2023,Teresia,FS- Lab,Student,Other;,WIFI;,Help accessing the wifi was given and the student was bale to access it. 
164,9/27/23 10:04:18,9/27/23 10:05:48,anonymous,,,9/27/2023,Teresia,FS- Lab,Guest,Other;,WIFI;,The student was guided on how to access the wifi.
165,9/27/23 10:15:51,9/27/23 10:17:20,anonymous,,,9/27/2023,Britton ,PY - Lab,Student,Computer Usage;,Other;,Needed to use computer.
166,9/27/23 10:17:24,9/27/23 10:18:46,anonymous,,,9/27/2023,Britton,PY - Lab,Student,Computer Usage;,Other;,Needed to use Computer.
167,9/27/23 10:05:51,9/27/23 10:23:38,anonymous,,,9/27/2023,Teresia,FS- Lab,Student,Computer Usage;,Other;WIFI;,The student was guided on how to access the wifi and also used the lab computers for schoolwork.
168,9/27/23 10:18:39,9/27/23 10:28:41,anonymous,,,9/27/2023,Nayeli Gabriel,FS- Lab,Guest,Other;,Other;,New student try to find class room. 
169,9/27/23 10:28:48,9/27/23 10:31:04,anonymous,,,9/27/2023,Sabrina ,FS- Lab,Staff,Other;,Other;,Help from Tyler.
170,9/27/23 10:31:33,9/27/23 10:32:41,anonymous,,,9/27/2023,Britton ,PY - Lab,Student,Printing;,Other;,Printing papers.
171,9/27/23 10:32:44,9/27/23 10:34:20,anonymous,,,9/27/2023,Britton,PY - Lab,Student,Printing;,Other;,Needed to use printer.
172,9/27/23 10:34:23,9/27/23 10:36:04,anonymous,,,9/27/2023,Britton,PY - Lab,Student,Tech Help;,Other;,Help with ctclink.
173,9/27/23 10:36:06,9/27/23 10:36:58,anonymous,,,9/27/2023,Britton,PY - Lab,Guest,Other;,Other;,person was hanging out.
174,9/27/23 10:37:00,9/27/23 10:37:48,anonymous,,,9/27/2023,Britton,PY - Lab,Guest,Other;,Other;,"Once more, a person was hanging out."
175,9/27/23 10:37:51,9/27/23 10:38:28,anonymous,,,9/27/2023,Britton,PY - Lab,Guest,Other;,Other;,Person was with a Friend.
176,9/27/23 10:42:24,9/27/23 10:54:07,anonymous,,,9/27/2023,Britton ,PY - Lab,Guest,Printing;,Other;,Needed to use printer.
